xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
6.500000000000000000e+00	2.455242316909292131e+05	3.012059415149798269e+01	3.909254711379551050e+00	1.014173035707615789e+01	3.361436882403194548e-02	4.146092164357544412e-06	7.226503901414327302e-01	4.672715382960432301e-06	1.603918625762507436e+05	5.247184394543930466e+03	3.118747324308224961e+03	3.250258380826917914e+02	3.392871514649942188e-02	1.273862066014751035e+05	6.767595738047329501e-01	9.341511739219722152e-03
7.000000000000000000e+00	2.449793059493681067e+05	3.012917436960806228e+01	3.899492736621901212e+00	1.017176397007922439e+01	3.361355535433546010e-02	4.159120115490405748e-06	7.226230178991298603e-01	4.672506793220341350e-06	1.603935075678962748e+05	5.247018484829829504e+03	3.118738472006688426e+03	3.250170344014570105e+02	3.392741292105137807e-02	1.273918933681085327e+05	6.767279333471060143e-01	9.345779405918465746e-03
7.500000000000000000e+00	2.444463439766964002e+05	3.013833182999932347e+01	3.889850746657165903e+00	1.019254988828648756e+01	3.361274149681468815e-02	4.172229816746456466e-06	7.225956094811786246e-01	4.672298198267588465e-06	1.603951529102144414e+05	5.246852559193252091e+03	3.118729619603104766e+03	3.250082321569704504e+02	3.392611225038567879e-02	1.273975807846326497e+05	6.766962938847269626e-01	9.341721585046683721e-03
8.000000000000000000e+00	2.438996695469903352e+05	3.014686235326270491e+01	3.880078650147583907e+00	1.022224506355301976e+01	3.361192725143203469e-02	4.185422040304921797e-06	7.225681648192525675e-01	4.672089598102460791e-06	1.603967986032446206e+05	5.246686617633095011e+03	3.118720767096053351e+03	3.249994313493821778e+02	3.392481313770416562e-02	1.274032688511455926e+05	6.766646554176889428e-01	9.345401262081906232e-03
8.500000000000000000e+00	2.433631359774033772e+05	3.015588842436563155e+01	3.870408520367182970e+00	1.024393431179921166e+01	3.361111261814958562e-02	4.198697568100714543e-06	7.225406838447978597e-01	4.671880992725242932e-06	1.603984446470261901e+05	5.246520660148228671e+03	3.118711914484111730e+03	3.249906319788431119e+02	3.392351558621965052e-02	1.274089575677457760e+05	6.766330179460848804e-01	9.341889546177191070e-03
9.000000000000000000e+00	2.428145572314998135e+05	3.016436451335224689e+01	3.860624342465372116e+00	1.027338011658595107e+01	3.361029759692907293e-02	4.212057191978994023e-06	7.225131664890319660e-01	4.671672382136223724e-06	1.604000910415988765e+05	5.246354686737495285e+03	3.118703061765854727e+03	3.249818340455049110e+02	3.392221959915599216e-02	1.274146469345314545e+05	6.766013814700062579e-01	9.345058796239603602e-03
9.500000000000000000e+00	2.422745343208636914e+05	3.017326492584218656e+01	3.850926443203716243e+00	1.029590357825002123e+01	3.360948218773187474e-02	4.225501713852654915e-06	7.224856126829426461e-01	4.671463766335692854e-06	1.604017377870025812e+05	5.246188697399716148e+03	3.118694208939856708e+03	3.249730375495200292e+02	3.392092517974817922e-02	1.274203369516008970e+05	6.765697459895448906e-01	9.342020716393747634e-03
1.000000000000000000e+01	2.417239105936092092e+05	3.018168250752520976e+01	3.841128369788045394e+00	1.032517918323312678e+01	3.360866639051900834e-02	4.239031945862861170e-06	7.224580223572842907e-01	4.671255145323936619e-06	1.604033848832771764e+05	5.246022692133677083e+03	3.118685356004690220e+03	3.249642424910417162e+02	3.391963233124237892e-02	1.274260276190524019e+05	6.765381115047902627e-01	9.344747148607730758e-03
1.050000000000000000e+01	2.411804650535551773e+05	3.019046236245354109e+01	3.831402916686254212e+00	1.034847748064290585e+01	3.360785020525116490e-02	4.252648710542623321e-06	7.224303954425799201e-01	4.671046519101246397e-06	1.604050323304629710e+05	5.245856670938143907e+03	3.118676502958925084e+03	3.249554488702239041e+02	3.391834105689599949e-02	1.274317189369842090e+05	6.765064780158333013e-01	9.342119548488667102e-03
1.100000000000000000e+01	2.406276686640860862e+05	3.019881795009322900e+01	3.821589259420115514e+00	1.037765338612501154e+01	3.360703363188867476e-02	4.266352840983563180e-06	7.224027318691174093e-01	4.670837887667912722e-06	1.604066801286003320e+05	5.245690633811855150e+03	3.118667649801131120e+03	3.249466566872214344e+02	3.391705135997779424e-02	1.274374109054946457e+05	6.764748455227627133e-01	9.344462057212340328e-03
1.150000000000000000e+01	2.400808534685767372e+05	3.020748179421449464e+01	3.811836331107558706e+00	1.040167574689636432e+01	3.360621667039150745e-02	4.280145181005870994e-06	7.223750315669481559e-01	4.670629251024225279e-06	1.604083282777297427e+05	5.245524580753521150e+03	3.118658796529874508e+03	3.249378659421899442e+02	3.391576324376791018e-02	1.274431035246820538e+05	6.764432140256672055e-01	9.342189931274979750e-03
1.200000000000000000e+01	2.395257679755250865e+05	3.021577241653692170e+01	3.802005510025797452e+00	1.043081486794288004e+01	3.360539932071930636e-02	4.294026585331569430e-06	7.223472944658865247e-01	4.670420609170477987e-06	1.604099767778919777e+05	5.245358511761824957e+03	3.118649943143722339e+03	3.249290766352856963e+02	3.391447671155797122e-02	1.274487967946446151e+05	6.764115835246345965e-01	9.344199785334225683e-03
1.250000000000000000e+01	2.389756239455536706e+05	3.022432430887504040e+01	3.792225063591274647e+00	1.045551812520339396e+01	3.360458158283134711e-02	4.307997919761145346e-06	7.223195204955074056e-01	4.670211962106959686e-06	1.604116256291278405e+05	5.245192426835425977e+03	3.118641089641237159e+03	3.249202887666660331e+02	3.391319176665114066e-02	1.274544907154807152e+05	6.763799540197520388e-01	9.342235257579061328e-03
1.300000000000000000e+01	2.384181426086480496e+05	3.023254744750170531e+01	3.782375591731899078e+00	1.048467675169434266e+01	3.360376345668654452e-02	4.322060061353621380e-06	7.222917095851461022e-01	4.670003309833967684e-06	1.604132748314785422e+05	5.245026325972954510e+03	3.118632236020982873e+03	3.249115023364886383e+02	3.391190841236220443e-02	1.274601852872886084e+05	6.763483255111059078e-01	9.343957057441929642e-03
1.350000000000000000e+01	2.378646998007915099e+05	3.024099101814209689e+01	3.772567476241376117e+00	1.051002446316192795e+01	3.360294494224348033e-02	4.336213898610161349e-06	7.222638616638946685e-01	4.669794652351792512e-06	1.604149243849852355e+05	5.244860209173015392e+03	3.118623382281518843e+03	3.249027173449122756e+02	3.391062665201764748e-02	1.274658805101666076e+05	6.763166979987821348e-01	9.342258484236722754e-03
1.400000000000000000e+01	2.373047242245126981e+05	3.024914455234112864e+01	3.762697946078579658e+00	1.053925310900675427e+01	3.360212603946038934e-02	4.350460331661273001e-06	7.222359766606027964e-01	4.669585989660732327e-06	1.604165742896894226e+05	5.244694076434187991e+03	3.118614528421404884e+03	3.248939337920967318e+02	3.390934648895572306e-02	1.274715763842129090e+05	6.762850714828660958e-01	9.343731002647400613e-03
1.450000000000000000e+01	2.367480031461437466e+05	3.025748305432694352e+01	3.752861914367162210e+00	1.056521478154158267e+01	3.360130674829512470e-02	4.364800272457696208e-06	7.222080545038733757e-01	4.669377321761079356e-06	1.604182245456326345e+05	5.244527927755018936e+03	3.118605674439197173e+03	3.248851516782019644e+02	3.390806792652652918e-02	1.274772729095259419e+05	6.762534459634421680e-01	9.342262185000777333e-03
1.500000000000000000e+01	2.361854420838445076e+05	3.026556521225604257e+01	3.742970985829696673e+00	1.059455893575050212e+01	3.360048706870521346e-02	4.379234644965068078e-06	7.221800951220634923e-01	4.669168648653127517e-06	1.604198751528567227e+05	5.244361763134033936e+03	3.118596820333452342e+03	3.248763710033892949e+02	3.390679096809209175e-02	1.274829700862040772e+05	6.762218214405939509e-01	9.343519104826088564e-03
1.550000000000000000e+01	2.356254547552045842e+05	3.027380156737195449e+01	3.733106704769089124e+00	1.062110934347326818e+01	3.359966700064783568e-02	4.393764385362450536e-06	7.221520984432832080e-01	4.668959970337178356e-06	1.604215261114035384e+05	5.244195582569735961e+03	3.118587966102724295e+03	3.248675917678205565e+02	3.390551561702644101e-02	1.274886679143454385e+05	6.761901979144048225e-01	9.342248597168633165e-03
1.600000000000000000e+01	2.350602230545503553e+05	3.028181088307603375e+01	3.723193094652387458e+00	1.065061013439015269e+01	3.359884654407976901e-02	4.408390442244795763e-06	7.221240643953910077e-01	4.668751286813530028e-06	1.604231774213153112e+05	5.244029386060589786e+03	3.118579111745564660e+03	3.248588139716583783e+02	3.390424187671568085e-02	1.274943663940482802e+05	6.761585753849570501e-01	9.343319158637430552e-03
1.650000000000000000e+01	2.344969739355728962e+05	3.028994772221588150e+01	3.713300154071976333e+00	1.067772871977869364e+01	3.359802569895752739e-02	4.423113776829475700e-06	7.220959929059933557e-01	4.668542598082474759e-06	1.604248290826343291e+05	5.243863173605044722e+03	3.118570257260525068e+03	3.248500376150662987e+02	3.390296975055809292e-02	1.275000655254110898e+05	6.761269538523327904e-01	9.342219662649628442e-03
1.700000000000000000e+01	2.339289916083316493e+05	3.029788299772205562e+01	3.703362626674417957e+00	1.070742350253808084e+01	3.359720446523717374e-02	4.437935363166911185e-06	7.220678839024454732e-01	4.668333904144315787e-06	1.604264810954030836e+05	5.243696945201514609e+03	3.118561402646153965e+03	3.248412626982086522e+02	3.390169924196417134e-02	1.275057653085321072e+05	6.760953333166129786e-01	9.343129230766121854e-03
1.750000000000000000e+01	2.333624784060437814e+05	3.030592269646071912e+01	3.693440547093261195e+00	1.073509385109249514e+01	3.359638284287448651e-02	4.452856188355472689e-06	7.220397373118455642e-01	4.668125204999348727e-06	1.604281334596642409e+05	5.243530700848391461e+03	3.118552547900998889e+03	3.248324892212503414e+02	3.390043035435676838e-02	1.275114657435096597e+05	6.760637137778781058e-01	9.342177064110217255e-03
1.800000000000000000e+01	2.327916698071928695e+05	3.031378296838603248e+01	3.683477905926440421e+00	1.076501672725693304e+01	3.359556083182484859e-02	4.467877252760688202e-06	7.220115530610377030e-01	4.667916500647880203e-06	1.604297861754605838e+05	5.243364440544039098e+03	3.118543693023604646e+03	3.248237171843574060e+02	3.389916309117110838e-02	1.275171668304419582e+05	6.760320952362076641e-01	9.342947625780978135e-03
1.850000000000000000e+01	2.322218841776912450e+05	3.032172767830711635e+01	3.673526145235064266e+00	1.079322610737710519e+01	3.359473843204331678e-02	4.482999570238892120e-06	7.219833310766059498e-01	4.667707791090206679e-06	1.604314392428352439e+05	5.243198164286795873e+03	3.118534838012516502e+03	3.248149465876963973e+02	3.389789745585492647e-02	1.275228685694273445e+05	6.760004776916811453e-01	9.342122256766055913e-03
1.900000000000000000e+01	2.316481772805225628e+05	3.032951218845996166e+01	3.663537225674959430e+00	1.082340838472072342e+01	3.359391564348458009e-02	4.498224168365415923e-06	7.219550712848753493e-01	4.667499076326629698e-06	1.604330926618313824e+05	5.243031872074972853e+03	3.118525982866276081e+03	3.248061774314348895e+02	3.389663345186850335e-02	1.275285709605642187e+05	6.759688611443767092e-01	9.342772856074285301e-03
1.950000000000000000e+01	2.310751054378900153e+05	3.033736386472903135e+01	3.653555184889555996e+00	1.085214734538024040e+01	3.359309246610296673e-02	4.513552088667426517e-06	7.219267736119090451e-01	4.667290356357454191e-06	1.604347464324923349e+05	5.242865563906852913e+03	3.118517127583424099e+03	3.247974097157410256e+02	3.389537108268480398e-02	1.275342740039507626e+05	6.759372455943721825e-01	9.342056496324066539e-03
2.000000000000000000e+01	2.304984311933248246e+05	3.034507203424192312e+01	3.643538847650998225e+00	1.088261794490433232e+01	3.359226889985245795e-02	4.528984386861515592e-06	7.218984379835068355e-01	4.667081631182982549e-06	1.604364005548616988e+05	5.242699239780691641e+03	3.118508272162498997e+03	3.247886434407839147e+02	3.389411035178950538e-02	1.275399776996853179e+05	6.759056310417450586e-01	9.342603615406173609e-03
2.050000000000000000e+01	2.299220544364044326e+05	3.035283245986127909e+01	3.633525875847955167e+00	1.091187996454530840e+01	3.359144494468668807e-02	4.544522133096171268e-06	7.218700643252035087e-01	4.666872900803518010e-06	1.604380550289831881e+05	5.242532899694720982e+03	3.118499416602038309e+03	3.247798786067335186e+02	3.389285126268112847e-02	1.275456820478661830e+05	6.758740174865712769e-01	9.341980863523037526e-03
2.100000000000000000e+01	2.293423462060819438e+05	3.036046386644555639e+01	3.623481001178121108e+00	1.094266578102449117e+01	3.359062060055891669e-02	4.560166412199231154e-06	7.218416525622668445e-01	4.666664165219364659e-06	1.604397098549007205e+05	5.242366543647143772e+03	3.118490560900578657e+03	3.247711152137603676e+02	3.389159381887110051e-02	1.275513870485917432e+05	6.758424049289266655e-01	9.342438755630609951e-03
2.150000000000000000e+01	2.287626413727398030e+05	3.036813467357661978e+01	3.613436399704060609e+00	1.097244696184684365e+01	3.358979586742205647e-02	4.575918323930448931e-06	7.218132026196961704e-01	4.666455424430829122e-06	1.604413650326583593e+05	5.242200171636136474e+03	3.118481705056653482e+03	3.247623532620361289e+02	3.389033802388385919e-02	1.275570927019602532e+05	6.758107933688862756e-01	9.341896285668669850e-03
2.200000000000000000e+01	2.281798344266434433e+05	3.037568903153429289e+01	3.603361882202866795e+00	1.100357318350611457e+01	3.358897074522868009e-02	4.591778983239288836e-06	7.217847144222205857e-01	4.666246678438218025e-06	1.604430205623004003e+05	5.242033783659850087e+03	3.118472849068794403e+03	3.247535927517329242e+02	3.388908388125691507e-02	1.275627990080699819e+05	6.757791828065250472e-01	9.342277266228689661e-03
2.250000000000000000e+01	2.275967742840068822e+05	3.038327172023154787e+01	3.593284908243724818e+00	1.103387198599383545e+01	3.358814523393096468e-02	4.607749520528081853e-06	7.217561878942958531e-01	4.666037927241837147e-06	1.604446764438713144e+05	5.241867379716403775e+03	3.118463992935532588e+03	3.247448336830237849e+02	3.388783139454096954e-02	1.275685059670192859e+05	6.757475732419159220e-01	9.341803555515171276e-03
2.300000000000000000e+01	2.270108053544602881e+05	3.039074886290199373e+01	3.583179652229493861e+00	1.106536237829316249e+01	3.358731933348076126e-02	4.623831081920677462e-06	7.217276229601049531e-01	4.665829170841996501e-06	1.604463326774156885e+05	5.241700959803896694e+03	3.118455136655396473e+03	3.247360760560828226e+02	3.388658056729999812e-02	1.275742135789063905e+05	6.757159646751325077e-01	9.342118256315930236e-03
2.350000000000000000e+01	2.264243589326034707e+05	3.039824481756200214e+01	3.573069521812207050e+00	1.109617939141795162e+01	3.358649304382956696e-02	4.640024829536712059e-06	7.216990195435541988e-01	4.665620409239001867e-06	1.604479892629783717e+05	5.241534523920397987e+03	3.118446280226913586e+03	3.247273198710846600e+02	3.388533140311131980e-02	1.275799218438296957e+05	6.756843571062468579e-01	9.341703347805534186e-03
2.400000000000000000e+01	2.258351658174060285e+05	3.040564468191663039e+01	3.562932437160396315e+00	1.112805654936802924e+01	3.358566636492848340e-02	4.656331941771631271e-06	7.216703775682710154e-01	4.665411642433163258e-06	1.604496462006042711e+05	5.241368072063946784e+03	3.118437423648610093e+03	3.247185651282047161e+02	3.388408390556573585e-02	1.275856307618874707e+05	6.756527505353308038e-01	9.341960938829985822e-03
2.450000000000000000e+01	2.252452986930535990e+05	3.041305518571260436e+01	3.552788327651530409e+00	1.115939429244093972e+01	3.358483929672831381e-02	4.672753613582647435e-06	7.216416969576050500e-01	4.665202870424789842e-06	1.604513034903385560e+05	5.241201604232562204e+03	3.118428566919008972e+03	3.247098118276193759e+02	3.388283807826756450e-02	1.275913403331780719e+05	6.756211449624554000e-01	9.341596233745306718e-03
2.500000000000000000e+01	2.246528199013628473e+05	3.042037779884412174e+01	3.542618326042556998e+00	1.119167986538196402e+01	3.358401183917944510e-02	4.689291056780703382e-06	7.216129776346225100e-01	4.664994093214195021e-06	1.604529611322266865e+05	5.241035120424227898e+03	3.118419710036633205e+03	3.247010599695058772e+02	3.388159392483479360e-02	1.275970505577996664e+05	6.755895403876910343e-01	9.341804616636495764e-03
2.550000000000000000e+01	2.240594944373832841e+05	3.042770404638503479e+01	3.532439378200341817e+00	1.122354261800079200e+01	3.358318399223193806e-02	4.705945500328672081e-06	7.215842195221066069e-01	4.664785310801687115e-06	1.604546191263140645e+05	5.240868620636908418e+03	3.118410853000002589e+03	3.246923095540419695e+02	3.388035144889912920e-02	1.276027614358507708e+05	6.755579368111074290e-01	9.341482693655027425e-03
2.600000000000000000e+01	2.234636688726863067e+05	3.043494951366614387e+01	3.522235369719884268e+00	1.125625751033921418e+01	3.358235575583548571e-02	4.722718190645883618e-06	7.215554225425550028e-01	4.664576523187580373e-06	1.604562774726463540e+05	5.240702104868537390e+03	3.118401995807636467e+03	3.246835605814065957e+02	3.387911065410612044e-02	1.276084729674294940e+05	6.755263342327733067e-01	9.341648670322737560e-03
2.650000000000000000e+01	2.228668444184357650e+05	3.044219262209168519e+01	3.512020689348972269e+00	1.128865116730097107e+01	3.358152712993943412e-02	4.739610391919183647e-06	7.215265866181774790e-01	4.664367730372188197e-06	1.604579361712695390e+05	5.240535573117021158e+03	3.118393138458052817e+03	3.246748130517792674e+02	3.387787154411524282e-02	1.276141851526341925e+05	6.754947326527575013e-01	9.341363128016318129e-03
2.700000000000000000e+01	2.222676110936040059e+05	3.044936111680473800e+01	3.501781579390488730e+00	1.132181571831335631e+01	3.358069811449274078e-02	4.756623386420653754e-06	7.214977116708936045e-01	4.664158932355821449e-06	1.604595952222296619e+05	5.240369025380241510e+03	3.118384280949764616e+03	3.246660669653403488e+02	3.387663412260001616e-02	1.276198979915632372e+05	6.754631320711275144e-01	9.341492547474244609e-03
2.750000000000000000e+01	2.216672441505525203e+05	3.045652213550403431e+01	3.491530238642389428e+00	1.135474766673973690e+01	3.357986870944405094e-02	4.773758474832174152e-06	7.214687976223327359e-01	4.663950129138797765e-06	1.604612546255728812e+05	5.240202461656052037e+03	3.118375423281288477e+03	3.246573223222711135e+02	3.387539839324807400e-02	1.276256114843148971e+05	6.754315324879502924e-01	9.341237867102754680e-03
2.800000000000000000e+01	2.210645419305461401e+05	3.046361388976536588e+01	3.481254925067290618e+00	1.138838181220926060e+01	3.357903891474159352e-02	4.791016976577014214e-06	7.214398443938287997e-01	4.663741320721429702e-06	1.604629143813457049e+05	5.240035881942278138e+03	3.118366565451135557e+03	3.246485791227535174e+02	3.387416435976128154e-02	1.276313256309875142e+05	6.753999339032918936e-01	9.341335753252941881e-03
2.850000000000000000e+01	2.204605862870594428e+05	3.047069380888505208e+01	3.470965963423881639e+00	1.142186082846981776e+01	3.357820873033328518e-02	4.808400230158598215e-06	7.214108519064207359e-01	4.663532507104034895e-06	1.604645744895946118e+05	5.239869286236717926e+03	3.118357707457816105e+03	3.246398373669704256e+02	3.387293202585585361e-02	1.276370404316793574e+05	6.753683363172183762e-01	9.341107179363365709e-03
2.900000000000000000e+01	2.198543536553559243e+05	3.047770910570828562e+01	3.460653333939795129e+00	1.145598424661914905e+01	3.357737815616665400e-02	4.825909593506658897e-06	7.213818200808498338e-01	4.663323688286933524e-06	1.604662349503665173e+05	5.239702674537144048e+03	3.118348849299839458e+03	3.246310970551055561e+02	3.387170139526241713e-02	1.276427558864885650e+05	6.753367397297949104e-01	9.341177842117047089e-03
2.950000000000000000e+01	2.192467604940097663e+05	3.048470886359617182e+01	3.450325758912350604e+00	1.149002041093789117e+01	3.357654719218886030e-02	4.843546444330950809e-06	7.213527488375565122e-01	4.663114864270437298e-06	1.604678957637082494e+05	5.239536046841302777e+03	3.118339990975711771e+03	3.246223581873433091e+02	3.387047247172614989e-02	1.276484719955136970e+05	6.753051441410847788e-01	9.340971278707921321e-03
3.000000000000000000e+01	2.186369353392731282e+05	3.049164802995769463e+01	3.439974688634132249e+00	1.152465265485442458e+01	3.357571583834675216e-02	4.861312180482718226e-06	7.213236380966795425e-01	4.662906035054868087e-06	1.604695569296670146e+05	5.239369403146912191e+03	3.118331132483939200e+03	3.246136207638689370e+02	3.386924525900688460e-02	1.276541887588528916e+05	6.752735495511529296e-01	9.341018410540856062e-03
3.050000000000000000e+01	2.180256533196372038e+05	3.049856851967231464e+01	3.429607476205753791e+00	1.155925728175363609e+01	3.357488409458676826e-02	4.879208220324118403e-06	7.212944877780533837e-01	4.662697200640543530e-06	1.604712184482901357e+05	5.239202743451665810e+03	3.118322273823026080e+03	3.246048847848687728e+02	3.386801976087917831e-02	1.276599061766045779e+05	6.752419559600614241e-01	9.340830330823743019e-03
3.100000000000000000e+01	2.174121727395370835e+05	3.050543192045676122e+01	3.419216825367889179e+00	1.159441790026848196e+01	3.357405196085498644e-02	4.897236003105806846e-06	7.212652978012057403e-01	4.662488361027787193e-06	1.604728803196250519e+05	5.239036067753222596e+03	3.118313414991472655e+03	3.245961502505296039e+02	3.386679598113246509e-02	1.276656242488668649e+05	6.752103633678732120e-01	9.340857090609132329e-03
3.150000000000000000e+01	2.167971480589737766e+05	3.051227399545594920e+01	3.408808920203486803e+00	1.162960348324438264e+01	3.357321943709715845e-02	4.915396989352907349e-06	7.212360680853551198e-01	4.662279516216915020e-06	1.604745425437194644e+05	5.238869376049223320e+03	3.118304555987780986e+03	3.245874171610392978e+02	3.386557392357114615e-02	1.276713429757382110e+05	6.751787717746492445e-01	9.340684458640231835e-03
3.200000000000000000e+01	2.161799481784041272e+05	3.051906202817512082e+01	3.398377531995708356e+00	1.166531213201944439e+01	3.357238652325864742e-02	4.933692661259538770e-06	7.212067985494093891e-01	4.662070666208251425e-06	1.604762051206212491e+05	5.238702668337276918e+03	3.118295696810449499e+03	3.245786855165863471e+02	3.386435359201469403e-02	1.276770623573168123e+05	6.751471811804511391e-01	9.340693544375670149e-03
3.250000000000000000e+01	2.155611246130807849e+05	3.052582650728604463e+01	3.387927847439906603e+00	1.170109230105907727e+01	3.357155321928444180e-02	4.952124523092194989e-06	7.211774891119633324e-01	4.661861811002117431e-06	1.604778680503783689e+05	5.238535944614964137e+03	3.118286837457975253e+03	3.245699553173602681e+02	3.386313499029775659e-02	1.276827823937010835e+05	6.751155915853382927e-01	9.340533747041719972e-03
